country_iso3,country_name,year,indicator_code,indicator_name,value
GBR,"United Kingdom",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",795714534395.164
GBR,"United Kingdom",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",951880342949.163
GBR,"United Kingdom",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",957619509260.342
GBR,"United Kingdom",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",869550502969.043
GBR,"United Kingdom",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",833100578279.813
GBR,"United Kingdom",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",861463440127.243
IDN,"Indonesia",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",286245903350.957
IDN,"Indonesia",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",269460535788.982
IDN,"Indonesia",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",276506804558.242
IDN,"Indonesia",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",222923845055.988
IDN,"Indonesia",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",165646843301.933
IDN,"Indonesia",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",213034646334.827
IDN,"Indonesia",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",230045612385.068
IDN,"Indonesia",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",194777319195.676
IDN,"Indonesia",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",170835000830.242
IDN,"Indonesia",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",178863652305.893
IND,"India",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",897055898132
IND,"India",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",839102411987.341
IND,"India",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",866361019118.766
IND,"India",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",760902891806.013
IND,"India",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",510244747372.174
IND,"India",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",602315056052.526
IND,"India",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",640300806738.542
IND,"India",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",582018012521.568
IND,"India",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",480169055768.282
IND,"India",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",465097595426.184
ITA,"Italy",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",721169108147.031
ITA,"Italy",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",736153956396.287
ITA,"Italy",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",776766269322.766
ITA,"Italy",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",634811260435.649
ITA,"Italy",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",480945200912.997
ITA,"Italy",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",560326098494.117
ITA,"Italy",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",597530269520.862
ITA,"Italy",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",540827068435.177
ITA,"Italy",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",483730717980.818
ITA,"Italy",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",485192095144.804
JPN,"Japan",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",958381808469.152
JPN,"Japan",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",988160815442.388
JPN,"Japan",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1076977967308.71
JPN,"Japan",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",938755726387.128
JPN,"Japan",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",798645128766.751
JPN,"Japan",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",908590987610.906
JPN,"Japan",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",922228472388.616
JPN,"Japan",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",829948316863.743
JPN,"Japan",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",763174802438.923
JPN,"Japan",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",799671850411.581
KOR,"Korea, Rep.",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",755486201521.958
KOR,"Korea, Rep.",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",755197457229.567
KOR,"Korea, Rep.",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",814936711590.894
KOR,"Korea, Rep.",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",698601348291.191
KOR,"Korea, Rep.",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",539436709934.322
KOR,"Korea, Rep.",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",602460189255.229
KOR,"Korea, Rep.",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",643142886151.538
KOR,"Korea, Rep.",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",587337161918.895
KOR,"Korea, Rep.",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",501960383970.089
KOR,"Korea, Rep.",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",529797582126.57
MEX,"Mexico",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",698190455615.662
MEX,"Mexico",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",674539332148.826
MEX,"Mexico",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",672827146643.746
MEX,"Mexico",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",559543398297.824
MEX,"Mexico",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",421735413258.959
MEX,"Mexico",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",507718819549.77
MEX,"Mexico",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",517202845542.861
MEX,"Mexico",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",469597181245.762
MEX,"Mexico",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",432376614131.825
MEX,"Mexico",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",439821695268.006
MYS,"Malaysia",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",278760544031.284
MYS,"Malaysia",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",255625703549.712
MYS,"Malaysia",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",283918591271.771
MYS,"Malaysia",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",236990392677.524
MYS,"Malaysia",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",186310380061.102
MYS,"Malaysia",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",210893037728.698
MYS,"Malaysia",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",221902484182.666
MYS,"Malaysia",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",201496430249.828
MYS,"Malaysia",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",181125866049.416
MYS,"Malaysia",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",186603344672.915
NLD,"Netherlands",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",867461920494.531
NLD,"Netherlands",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",880497587437.271
NLD,"Netherlands",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",917438087562.26
NLD,"Netherlands",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",808831153930.22
NLD,"Netherlands",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",662040850865.371
NLD,"Netherlands",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",699981663066.666
NLD,"Netherlands",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",711271186937.254
NLD,"Netherlands",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",631649933011.766
NLD,"Netherlands",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",558461399908.951
NLD,"Netherlands",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",592155905829.687
SGP,"Singapore",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",794257214123.585
SGP,"Singapore",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",732376279726.863
SGP,"Singapore",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",746881154042.274
SGP,"Singapore",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",641260365780.587
SGP,"Singapore",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",526490604765.239
SGP,"Singapore",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",555635930735.296
SGP,"Singapore",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",559453294010.714
SGP,"Singapore",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",497980411680.576
SGP,"Singapore",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",441180387768.485
SGP,"Singapore",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",465345116651.21
THA,"Thailand",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",349671347769.102
THA,"Thailand",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",327159708258.581
THA,"Thailand",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",334490999348.285
THA,"Thailand",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",297103648539.909
THA,"Thailand",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",231745471360.936
THA,"Thailand",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",272916501194.971
THA,"Thailand",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",283801450351.972
THA,"Thailand",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",247430252336.997
THA,"Thailand",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",221168950937.551
THA,"Thailand",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",229553374316.892
USA,"United States",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",4113828000000
USA,"United States",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3859856000000
USA,"United States",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3974319000000
USA,"United States",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3417930000000
USA,"United States",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2782391000000
USA,"United States",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3116681000000
USA,"United States",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3131166000000
USA,"United States",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2931589000000
USA,"United States",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2738830000000
USA,"United States",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2794942000000
VNM,"Viet Nam",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",398774125641.271
VNM,"Viet Nam",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",339491142718.319
VNM,"Viet Nam",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",370998835148.792
VNM,"Viet Nam",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",340182482326.141
VNM,"Viet Nam",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",273355953899.644
VNM,"Viet Nam",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",265976296626.188
VNM,"Viet Nam",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",248830928922.633
VNM,"Viet Nam",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",222881466764.771
VNM,"Viet Nam",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",183315160786.75
VNM,"Viet Nam",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",172245363653.847
ZAF,"South Africa",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",119761291334.041
ZAF,"South Africa",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",123686210464.208
ZAF,"South Africa",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",128016518313.047
ZAF,"South Africa",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",104883607897.811
ZAF,"South Africa",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",78355182004.1248
ZAF,"South Africa",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",103935027605.427
ZAF,"South Africa",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",109373822794.536
ZAF,"South Africa",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",99923782384.0035
ZAF,"South Africa",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",89649913398.7817
ZAF,"South Africa",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",100591042327.088
AUS,"Australia",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",432605705549.386
AUS,"Australia",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",463117015978.139
AUS,"Australia",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",431732710875.763
AUS,"Australia",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",343364164705.654
AUS,"Australia",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",319174580744.374
AUS,"Australia",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",336477593836.115
AUS,"Australia",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",312605804111.245
AUS,"Australia",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",281774035049.614
AUS,"Australia",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",232663011512.861
AUS,"Australia",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",271152836560.501
BRA,"Brazil",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",392105346047.039
BRA,"Brazil",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",393731572887.926
BRA,"Brazil",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",383177602116.201
BRA,"Brazil",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",319251201403.084
BRA,"Brazil",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",242872071018.291
BRA,"Brazil",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",264562979421.068
BRA,"Brazil",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",280543266303.121
BRA,"Brazil",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",258330777006.501
BRA,"Brazil",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",223863343103.297
BRA,"Brazil",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",232488824444.589
CAN,"Canada",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",737073649328.937
CAN,"Canada",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",732380673864.391
CAN,"Canada",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",742056361162.595
CAN,"Canada",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",630478158309.719
CAN,"Canada",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",487990676642.934
CAN,"Canada",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",564142104614.779
CAN,"Canada",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",557719627178.031
CAN,"Canada",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",518766780219.71
CAN,"Canada",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",481357649980.237
CAN,"Canada",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",495747450357.728
CHN,"China",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",3828873971971.62
CHN,"China",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",3544871083631.02
CHN,"China",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",3705070541732.88
CHN,"China",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",3537510275663.96
CHN,"China",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2739785089628.44
CHN,"China",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2641188436776.47
CHN,"China",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2655609176087.45
CHN,"China",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2424216052098.35
CHN,"China",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2199974853570.14
CHN,"China",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",2362097053274.6
DEU,"Germany",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1941431210621.87
DEU,"Germany",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1960255682615.72
DEU,"Germany",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1916859170749.03
DEU,"Germany",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1851846071996.09
DEU,"Germany",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1541867660412.46
DEU,"Germany",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1676629137011.76
DEU,"Germany",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1723433049609.41
DEU,"Germany",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1589089750187.06
DEU,"Germany",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1472560807845.53
DEU,"Germany",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1458592274325
FRA,"France",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1071066237472.11
FRA,"France",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1053069574154.53
FRA,"France",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1023340977697.09
FRA,"France",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",928139254791.07
FRA,"France",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",756174143647.162
FRA,"France",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",895514342479.214
FRA,"France",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",915638789626.901
FRA,"France",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",836510836277.649
FRA,"France",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",778134181664.243
FRA,"France",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",774108364253.242
GBR,"United Kingdom",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1147692057154.76
GBR,"United Kingdom",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1091653856200.64
GBR,"United Kingdom",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",1083593172366.25
GBR,"United Kingdom",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",935667446175.151
GBR,"United Kingdom",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",815801724783.58
GBR,"United Kingdom",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",917433768894.232
GBR,"United Kingdom",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",922834772428.163
GBR,"United Kingdom",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",836020370556.138
GBR,"United Kingdom",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",786640412453.566
GBR,"United Kingdom",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",821200386071.742
IDN,"Indonesia",2024,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",311510024778.671
IDN,"Indonesia",2023,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",299031805850.549
IDN,"Indonesia",2022,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",323218198016.355
IDN,"Indonesia",2021,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",254109508154.492
IDN,"Indonesia",2020,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",183546577017.375
IDN,"Indonesia",2019,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",208057763659.252
IDN,"Indonesia",2018,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",218905647886.556
IDN,"Indonesia",2017,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",204924485909.157
IDN,"Indonesia",2016,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",177886012744.865
IDN,"Indonesia",2015,NE.EXP.GNFS.CD,"Exports of goods and services (current US$)",182158298802.029
